TIC ID,class,confidence
140872839,Delta Scuti,0.981497884
301624130,Delta Scuti,0.98146993
385212613,Delta Scuti,0.98144263
66510457,Delta Scuti,0.98144192
394566745,Delta Scuti,0.981425405
386154220,Delta Scuti,0.981400728
60132232,Delta Scuti,0.98135251
29106885,Delta Scuti,0.981215119
59608160,Delta Scuti,0.98121107
21967369,Delta Scuti,0.9811964
394566745,Delta Scuti,0.98119444
356528601,Delta Scuti,0.98118627
394134559,Delta Scuti,0.98110676
167571515,Delta Scuti,0.98110241
418295789,Delta Scuti,0.98109448
269026204,Delta Scuti,0.98108864
76669312,Delta Scuti,0.98108023
155443782,Delta Scuti,0.98107386
255686138,Delta Scuti,0.98106349
258978550,Delta Scuti,0.98100257
443900046,Delta Scuti,0.98099339
447438857,Delta Scuti,0.980973661
296213123,Delta Scuti,0.98094648
77890959,Delta Scuti,0.9809311
257642604,Delta Scuti,0.98092276
216858074,Delta Scuti,0.980908871
468985290,Delta Scuti,0.980904758
451424697,Delta Scuti,0.98089385
175409424,Delta Scuti,0.9808929
296429708,Delta Scuti,0.98088056
158916489,Delta Scuti,0.98085529
309718307,Delta Scuti,0.9808473
261203891,Delta Scuti,0.98084623
377158163,Delta Scuti,0.98083383
75881632,Delta Scuti,0.98082089
420136536,Delta Scuti,0.98080188
386154220,Delta Scuti,0.98080027
310309046,Delta Scuti,0.98078352
254142011,Delta Scuti,0.98078227
284619103,Delta Scuti,0.98077273
373210707,Delta Scuti,0.9807598
78772886,Delta Scuti,0.98075795
125368230,Delta Scuti,0.98075324
117063153,Delta Scuti,0.98073018
274511577,Delta Scuti,0.98072219
419156073,Delta Scuti,0.98065954
307624942,Delta Scuti,0.98062015
25211001,Delta Scuti,0.98053485
66488360,Delta Scuti,0.98046839
372163405,Delta Scuti,0.98045522
60132232,Delta Scuti,0.98039812
301249896,Delta Scuti,0.98039323
262869955,Delta Scuti,0.98034865
142082235,Delta Scuti,0.98034579
91696910,Delta Scuti,0.98033226
441936235,Delta Scuti,0.980321467
157118534,Delta Scuti,0.98031288
63905200,Delta Scuti,0.98029584
461262165,Delta Scuti,0.98026752
269026204,Delta Scuti,0.98011601
99934473,Delta Scuti,0.98009914
443900046,Delta Scuti,0.980062962
282051545,Delta Scuti,0.9800294
123029418,Delta Scuti,0.98002565
413253402,Delta Scuti,0.97999316
394562880,Delta Scuti,0.97998869
138285753,Delta Scuti,0.97998238
81094707,Delta Scuti,0.97995466
285049320,Delta Scuti,0.97993577
243228551,Delta Scuti,0.97993439
16155498,Delta Scuti,0.97991061
117061983,Delta Scuti,0.9798982
309931768,Delta Scuti,0.97989494
420136536,Delta Scuti,0.979887843
14612516,Delta Scuti,0.97984755
97703000,Delta Scuti,0.97984046
30156100,Delta Scuti,0.97983927
7844614,Delta Scuti,0.97976637
300308577,Delta Scuti,0.97976351
376977674,Delta Scuti,0.97973061
301160105,Delta Scuti,0.97972143
29521574,Delta Scuti,0.97967476
262444323,Delta Scuti,0.9796108
158960327,Delta Scuti,0.97960448
435383519,Delta Scuti,0.97959799
70036070,Delta Scuti,0.9795926
268052589,Delta Scuti,0.97951174
435916016,Delta Scuti,0.97945696
274511577,Delta Scuti,0.97939521
125544383,Delta Scuti,0.97939175
142082235,Delta Scuti,0.97937232
310309046,Delta Scuti,0.97931468
390019991,Delta Scuti,0.97929686
435994811,Delta Scuti,0.97928667
276055067,Delta Scuti,0.97920859
264163127,Delta Scuti,0.97913373
390019991,Delta Scuti,0.97905207
91619889,Delta Scuti,0.97899318
404630592,Delta Scuti,0.978988051
410451583,Delta Scuti,0.97898233
312043244,Delta Scuti,0.97894716
367370090,Delta Scuti,0.97892749
258053346,Delta Scuti,0.97891474
118267777,Delta Scuti,0.9788931
345354244,Delta Scuti,0.97887015
344403076,Delta Scuti,0.978749931
346231856,Delta Scuti,0.9787147
234274232,Delta Scuti,0.97870386
334632691,Delta Scuti,0.978659689
84729507,Delta Scuti,0.97863626
142082235,Delta Scuti,0.97859895
21967369,Delta Scuti,0.97854841
363454805,Delta Scuti,0.97853822
358216034,Delta Scuti,0.97851914
57597784,Delta Scuti,0.97848803
315739657,Delta Scuti,0.97848582
356528601,Delta Scuti,0.97844762
285026194,Delta Scuti,0.97844476
